EBM-Ziffer;EBM_Bezeichnung;Punktzahl;EBM_Betrag;Waehrung;Zusatzkennzeichen;gueltigab;gueltigbis;geaendert
"01704";"Zuschlag für die Beratung im Rahmen des Neugeborenen-Hörscreenings";"28";"0";"";"";"20131001";"20161231";"20131001"
"01704";"Zuschlag für die Beratung im Rahmen des Neugeborenen-Hörscreenings";"28";"0";"";"";"20170101";"99991231";"20170209"
"01705";"Neugeborenen-Hörscreening";"157";"0";"";"";"20131001";"99991231";"20131001"
"01706";"Kontroll-AABR";"249";"0";"";"";"20131001";"20161231";"20131001"
"01706";"Kontroll-AABR";"249";"0";"";"";"20170101";"99991231";"20170209"
"01707";"Beratung zum Erweiterten Neugeborenen-Screening gemäß Kinder-Richtlinie";"184";"0";"";" ";"20211001";"99991231";"20220101"
"01707";"Erweitertes Neugeborenen-Screening gemäß Kinder-Richtlinie";"103";"0";"";"";"20131001";"20161231";"20131001"
"01707";"Erweitertes Neugeborenen-Screening gemäß Kinder-Richtlinie";"135";"0";"";"";"20170101";"20210930";"20220101"
"01708";"Laboruntersuchungen im Rahmen des Neugeborenen-Screenings";"117";"0";"";"";"20131001";"20161231";"20170209"
"01709";"Screening auf Mukoviszidose gemäß Kinder-Richtlinie";"50";"0";"EUR";"";"20170101";"99991231";"20170209"
"01710";"Zusatzpauschale TSS-Terminvermittlung";"0";"0";"";"";"20200101";"99991231";"20200220"
"01711";"U1";"126";"0";"";"";"20131001";"99991231";"20131001"
"01712";"U2";"308";"0";"";"";"20131001";"20161231";"20131001"
"01712";"U2";"401";"0";"";"";"20170101";"99991231";"20170209"
"01713";"U3";"401";"0";"";"";"20170101";"20170630";"20170209"
"01713";"U3";"308";"0";"";"";"20131001";"20161231";"20131001"
"01713";"U3";"402";"0";"";"";"20170701";"99991231";"19000101"
"01714";"U4";"402";"0";"";"";"20170701";"99991231";"19000101"
"01714";"U4";"308";"0";"";"";"20131001";"20161231";"20131001"
"01714";"U4";"401";"0";"";"";"20170101";"20170630";"20170209"
"01715";"U5";"401";"0";"";"";"20170101";"20170630";"20170209"
"01715";"U5";"308";"0";"";"";"20131001";"20161231";"20131001"
"01715";"U5";"402";"0";"";"";"20170701";"99991231";"19000101"
"01716";"U6";"402";"0";"";"";"20170701";"99991231";"19000101"
"01716";"U6";"308";"0";"";"";"20131001";"20161231";"20131001"
"01716";"U6";"401";"0";"";"";"20170101";"20170630";"20170209"
"01717";"U7";"401";"0";"";"";"20170101";"20170630";"20170209"
"01717";"U7";"402";"0";"";"";"20170701";"99991231";"19000101"
"01717";"U7";"308";"0";"";"";"20131001";"20161231";"20131001"
"01718";"U8";"308";"0";"";"";"20131001";"20161231";"20131001"
"01718";"U8";"402";"0";"";"";"20170701";"99991231";"19000101"
"01718";"U8";"401";"0";"";"";"20170101";"20170630";"20170209"
"01719";"U9";"401";"0";"";"";"20170101";"20170630";"20170209"
"01719";"U9";"402";"0";"";"";"20170701";"99991231";"19000101"
"01719";"U9";"308";"0";"";"";"20131001";"20161231";"20131001"
"01720";"J1";"355";"0";"";"";"20131001";"20170630";"20131001"
"01720";"J1";"356";"0";"";"";"20170701";"99991231";"19000101"
"01721";"Besuch wegen U1 - U2";"198";"0";"";"";"20131001";"99991231";"20131001"
"01722";"Sonographie der Säuglingshüften bei U3";"170";"0";"";"";"20131001";"20161231";"20131001"
"01722";"Sonographie der Säuglingshüften bei U3";"170";"0";"";"";"20170101";"99991231";"20170209"
"01723";"U7a";"355";"0";"";"";"20131001";"20161231";"20131001"
"01723";"U7a";"402";"0";"";"";"20170701";"99991231";"19000101"
"01723";"U7a";"401";"0";"";"";"20170101";"20170630";"20170209"
"01724";"Laboruntersuchungen des Erweiterten Neugeborenen-Screening gemäß Kinder-Richtlinie";"297";"0";"";" ";"20211001";"99991231";"20220101"
"01724";"Laboruntersuchungen im Rahmen des Neugeborenen-Screenings";"221";"0";"";"";"20190701";"20210930";"20220101"
"01724";"Laboruntersuchungen im Rahmen des Neugeborenen-Screenings";"147";"0";"";"";"20170101";"20190630";"20190916"
"01725";"Immunreaktives Trypsin";"23";"0";"EUR";"";"20170101";"99991231";"20170209"
"01726";"Pankreatitis-assoziiertes Protein";"399";"0";"EUR";"";"20170101";"99991231";"20170209"
"01727";"Molekulargenetische Untersuchung des CFTR-Gens";"3746";"0";"EUR";"";"20170101";"99991231";"20170209"
"01730";"Krebsfrüherkennungs- Untersuchung bei der Frau";"180";"0";"";"";"20131001";"20191231";"20200220"
"01731";"Krebsfrüherkennungs- Untersuchung beim Mann";"143";"0";"";"";"20131001";"20200331";"20200518"
"01731";"Krebsfrüherkennungs- Untersuchung beim Mann";"144";"0";"";"";"20200401";"99991231";"20200518"
"01732";"Gesundheitsuntersuchung bei Erwachsenen ab vollendetem 18. Lebensjahr";"326";"0";"";"";"20200401";"99991231";"20200518"
"01732";"Gesundheitsuntersuchung";"303";"0";"";"";"20170701";"20190331";"20190625"
"01732";"Gesundheitsuntersuchung";"302";"0";"";"";"20131001";"20170630";"20131001"
"01732";"Gesundheitsuntersuchung bei Erwachsenen ab vollendetem 18. Lebensjahr";"320";"0";"";"";"20190401";"20200331";"20200518"
"01733";"Zytologische Untersuchung (Krebsvorsorge)";"74";"0";"";"";"20131001";"20191231";"20200220"
"01734";"Untersuchung auf Blut im Stuhl";"25";"0";"";"";"20131001";"20170331";"20180613"
"01734";"Screening auf Hepatitis-B- und/oder auf Hepatitis-C-Virusinfektion";"41";"0";"";"";"20211001";"99991231";"20220101"
"01735";"Beratung gemäß § 4 der Chroniker-Richtlinie zu Früherkennungsuntersuchungen für nach dem 1. April 1987 geborene Frauen";"103";"0";"";"";"20131001";"99991231";"20131001"
"01737";"Ausgabe und Weiterleitung eines Stuhlprobenentnahmesystems";"57";"0";"EUR";"";"20170401";"99991231";"20170401"
"01738";"Hämoglobin im Stuhl, immunologisch";"75";"0";"EUR";"";"20170401";"99991231";"20170401"
"01740";"Beratung zur Früherkennung des kolorektalen Karzinoms";"116";"0";"";"";"20200401";"99991231";"20200518"
"01740";"Beratung zur Früherkennung des kolorektalen Karzinoms";"103";"0";"";"";"20131001";"20190331";"20190625"
"01740";"Beratung zur Früherkennung des kolorektalen Karzinoms";"115";"0";"";"";"20190401";"20200331";"20200518"
"01741";"Totale Früherkennungskoloskopie gem. Teil II § 3 der Richtlinie für organisierte Krebsfrüherkennungsprogramme (oKFE-RL)";"1765";"0";"";" ";"20200701";"99991231";"20200903"
"01741";"Totale Früherkennungskoloskopie gem. Teil II § 3 der Richtlinie für organisierte Krebsfrüherkennungsprogramme (oKFERL-RL)";"1945";"0";"";"";"20190401";"20191231";"20200220"
"01741";"Totale Früherkennungskoloskopie gem. Teil II. § 3 der Richtlinie für organisierte Krebsfrüherkennungsprogramme (oKFERL-RL)";"1945";"0";"";"";"20200101";"20200331";"20200518"
"01741";"Totale Früherkennungskoloskopie gem. Teil II § 3 der Richtlinie für organisierte Krebsfrüherkennungsprogramme (oKFE-RL)";"1772";"0";"";"";"20200401";"20200630";"20200903"
"01741";"Totale Früherkennungskoloskopie gem. § 37 Absatz 3 der Krebsfrüherkennungs-Richtlinie";"1945";"0";"";"";"20050401";"20190331";"20190625"
"01742";"Zuschlag zu Nr. 01741 für Abtragung von Polypen";"286";"0";"";"";"20200401";"20200630";"20200903"
"01742";"Zuschlag zu Nr. 01741 für Abtragung von Polypen";"259";"0";"";" ";"20200701";"99991231";"20200903"
"01742";"Zuschlag zu Nr. 01741 für Abtragung von Polypen";"288";"0";"";"";"20131001";"20200331";"20200518"
"01743";"Histologie bei Früherkennungskoloskopie";"131";"0";"";"";"20131001";"99991231";"20131001"
"01744";"Übergangsregelung Screening auf Hepatitis-B- und/oder auf Hepatitis-C-Virusinfektion";"41";"0";"";" ";"20211001";"20231231";"20220323"
"01745";"Früherkennungsuntersuchung auf Hautkrebs";"253";"0";"";"";"20200401";"99991231";"20200518"
"01745";"Früherkennungsuntersuchung auf Hautkrebs";"214";"0";"";"";"20131001";"20200331";"20200518"
"01746";"Zuschlag zur Gebührenordnungsposition 01732 für die Früherkennungsuntersuchung auf Hautkrebs";"170";"0";"";"";"20131001";"20200331";"20200518"
"01746";"Zuschlag zur Gebührenordnungsposition 01732 für die Früherkennungsuntersuchung auf Hautkrebs";"209";"0";"";"";"20200401";"99991231";"20200518"
"01747";"Aufklärungsgespräch Ultraschall-Screening Bauchaortenaneurysmen";"82";"0";"";"";"20200401";"99991231";"20200518"
"01747";"Aufklärungsgespräch Ultraschall-Screening Bauchaortenaneurysmen";"57";"0";"EUR";"";"20180101";"20200331";"20200518"
"01748";"Ultraschall-Screening Bauchaortenaneurysmen";"148";"0";"EUR";"";"20180101";"20200331";"20200518"
"01748";"Ultraschall-Screening Bauchaortenaneurysmen";"124";"0";"";"";"20200401";"99991231";"20200518"
"01750";"Röntgenuntersuchung im Rahmen des Mammographie-Screening";"552";"0";"";"";"20131001";"20131231";"20131001"
"01750";"Röntgenuntersuchung im Rahmen des Mammographie-Screening";"553";"0";"";"";"20150401";"20190930";"20200220"
"01750";"Röntgenuntersuchung im Rahmen des Mammographie-Screening";"531";"0";"";"";"20140101";"20140630";"20140101"
"01750";"Röntgenuntersuchung im Rahmen des Mammographie-Screening";"552";"0";"";"";"20140701";"20150331";"20140701"
"01750";"Röntgenuntersuchung im Rahmen des Mammographie-Screening";"558";"0";"";"";"20191001";"99991231";"20200220"
"01751";"Aufklärungsgespräch im Rahmen des Mammographie-Screening";"92";"0";"";"";"20200401";"99991231";"20200518"
"01751";"Aufklärungsgespräch im Rahmen des Mammographie-Screening";"63";"0";"EUR";"";"20161001";"20200331";"20200518"
"01752";"Beurteilung von Mammographieaufnahmen im Rahmen des Mammographie-Screening";"39";"0";"";"";"20140101";"20140630";"20140101"
"01752";"Beurteilung von Mammographieaufnahmen im Rahmen des Mammographie-Screening";"41";"0";"";"";"20140701";"99991231";"20140701"
"01752";"Beurteilung von Mammographieaufnahmen im Rahmen des Mammographie-Screening";"41";"0";"";"";"20131001";"20131231";"20131001"
"01753";"Abklärungsdiagnostik I im Rahmen des Mammographie-Screening";"895";"0";"";"";"20131001";"20131231";"20131001"
"01753";"Abklärungsdiagnostik I im Rahmen des Mammographie-Screening";"861";"0";"";"";"20140101";"20140630";"20140101"
"01753";"Abklärungsdiagnostik I im Rahmen des Mammographie-Screening";"895";"0";"";"";"20140701";"20150331";"20140701"
"01753";"Abklärungsdiagnostik I im Rahmen des Mammographie-Screening";"897";"0";"";"";"20150401";"99991231";"20150401"
"01754";"Abklärungsdiagnostik II einschl. ultraschallgest. Biopsie im Rahmen des Mammographie-Screening";"630";"0";"";"";"20150401";"99991231";"20150401"
"01754";"Abklärungsdiagnostik II einschl. ultraschallgest. Biopsie im Rahmen des Mammographie-Screening";"604";"0";"";"";"20140101";"20140630";"20140101"
"01754";"Abklärungsdiagnostik II einschl. ultraschallgest. Biopsie im Rahmen des Mammographie-Screening";"628";"0";"";"";"20140701";"20150331";"20140701"
"01754";"Abklärungsdiagnostik II einschl. ultraschallgest. Biopsie im Rahmen des Mammographie-Screening";"628";"0";"";"";"20131001";"20131231";"20131001"
"01755";"Stanzbiopsie unter Röntgenkontrolle im Rahmen des Mammographie-Screening";"1121";"0";"";"";"20131001";"20131231";"20131001"
"01755";"Stanzbiopsie unter Röntgenkontrolle im Rahmen des Mammographie-Screening";"1121";"0";"";"";"20140701";"20150331";"20140701"
"01755";"Stanzbiopsie unter Röntgenkontrolle im Rahmen des Mammographie-Screening";"1079";"0";"";"";"20140101";"20140630";"20140101"
"01755";"Stanzbiopsie unter Röntgenkontrolle im Rahmen des Mammographie-Screening";"1124";"0";"";"";"20150401";"99991231";"20150401"
"01756";"Histopathologische Untersuchung im Rahmen des Mammographie-Screening";"97";"0";"";"";"20140701";"99991231";"20140701"
"01756";"Histopathologische Untersuchung im Rahmen des Mammographie-Screening";"97";"0";"";"";"20131001";"20131231";"20131001"
"01756";"Histopathologische Untersuchung im Rahmen des Mammographie-Screening";"93";"0";"";"";"20140101";"20140630";"20140101"
"01757";"Zuschlag zu der Nr. 01756 für Aufarbeitung";"106";"0";"";"";"20131001";"20131231";"20131001"
